,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
0,https://www.booli.se/annons/3590021,3070000,43857,3,70,2019-10-07,3838,335,3,1965,Solna
1,https://www.booli.se/annons/3493406,2135000,84387,1,25,2019-10-07,1259,424,0,1959,Solna
2,https://www.booli.se/annons/3530442,3600000,60000,3,60,2019-10-07,3206,516,3,1945,Solna
3,https://www.booli.se/annons/3546337,2560000,69189,1.5,37,2019-10-07,2489,200,1.5,1933,Solna
4,https://www.booli.se/annons/3457094,4400000,62411,2,71,2019-10-04,3688,477,6,2017,Solna
5,https://www.booli.se/annons/3513830,2845000,62527,1.5,46,2019-10-04,2381,262,2,2017,Solna
6,https://www.booli.se/annons/3527623,2895000,47459,2,61,2019-10-04,2875,385,1,2006,Solna
7,https://www.booli.se/annons/3588153,5000000,50505,4,99,2019-10-04,5278,788,3,2017,Solna
8,https://www.booli.se/annons/3571141,3700000,51389,3,72,2019-10-03,3899,568,2,2018,Solna
9,https://www.booli.se/annons/3371069,3300000,57895,2,57,2019-10-03,3454,450,10,2016,Solna
10,https://www.booli.se/annons/3582685,2670000,58043,1.5,46,2019-10-03,1413,266,1,1964,Solna
11,https://www.booli.se/annons/3590602,5860000,59192,4,99,2019-10-03,4874,650,7,1985,Solna
12,https://www.booli.se/annons/3443694,3020000,63579,2,48,2019-09-11,2825,308,4,2015,Solna
13,https://www.booli.se/bostad/331057,5025000,58430,4,86,2019-10-07,3654,240,4,2011,Solna
14,https://www.booli.se/bostad/716188,2100000,95455,1,22,2019-10-07,1373,290,3,1949,Solna
15,https://www.booli.se/bostad/141357,3445000,56942,3,61,2019-10-04,2825,302,3,1959,Solna
16,https://www.booli.se/bostad/50402,2450000,66216,1,37,2019-10-04,1724,308,1,1938,Solna
17,https://www.booli.se/bostad/2170485,2340000,93600,1,25,2019-10-04,1256,290,3,1931,Solna
18,https://www.booli.se/bostad/779381,3270000,64118,2,51,2019-10-03,1995,375,1,1944,Solna
19,https://www.booli.se/bostad/441042,4400000,51163,3,86,2019-10-03,5048,200,5,2008,Solna
20,https://www.booli.se/bostad/736258,2630000,62619,1.5,42,2019-10-03,2191,400,0,1965,Solna
21,https://www.booli.se/bostad/440891,4260000,59167,3,72,2019-10-03,3978,784,5,2003,Solna
22,https://www.booli.se/annons/3590392,2480000,53913,1,46,2019-10-01,1755,267,3,1965,Solna
23,https://www.booli.se/annons/3588140,2980000,55701,2,54,2019-10-02,2677,540,0,1953,Solna
24,https://www.booli.se/annons/3543146,4400000,63768,3,69,2019-10-02,4370,384,14,2018,Solna
25,https://www.booli.se/annons/3588387,2950000,67045,2,44,2019-10-02,2805,128,5,2018,Solna
26,https://www.booli.se/annons/3565272,3232023,52984,2,61,2019-10-02,3351,965,4,2011,Solna
27,https://www.booli.se/annons/3598916,2995000,66556,2,45,2019-10-02,2512,375,0,2019,Solna
28,https://www.booli.se/annons/3588218,3000000,48387,2,62,2019-10-01,3376,550,6,1957,Solna
29,https://www.booli.se/annons/3588545,2710000,71316,2,38,2019-10-01,1953,302,2,2011,Solna
30,https://www.booli.se/annons/3609929,3200000,60377,2,53,2019-10-01,3561,400,4,2004,Solna
31,https://www.booli.se/annons/3513452,5200000,50000,4,104,2019-10-01,5468,641,3,2017,Solna
32,https://www.booli.se/annons/3549598,3465000,42778,3,81,2019-09-04,4456,216,1,1973,Solna
33,https://www.booli.se/annons/3556088,2930000,49661,2,59,2019-09-04,2915,638,13,1973,Solna
34,https://www.booli.se/annons/3576202,3250000,48148,3,68,2019-09-17,2730,433,8,1973,Solna
35,https://www.booli.se/annons/3582179,4110000,46705,4,88,2019-09-30,4199,516,2,1968,Solna
36,https://www.booli.se/bostad/306066,4375000,52083,3,84,2019-10-02,4320,708,3,2013,Solna
37,https://www.booli.se/bostad/132971,3420000,49209,3,70,2019-10-02,3591,538,3,1962,Solna
38,https://www.booli.se/bostad/161396,4250000,36638,5,116,2019-10-02,6308,625,0,1969,Solna
39,https://www.booli.se/bostad/4009246,3100000,65957,2,47,2019-10-02,2551,400,1,1931,Solna
40,https://www.booli.se/bostad/326985,2730000,50556,2,54,2019-10-02,2789,613,3,2004,Solna
41,https://www.booli.se/bostad/327222,3775000,54395,2,69,2019-10-02,3300,180,3,2002,Solna
42,https://www.booli.se/bostad/3926265,6250000,71023,3,88,2019-10-01,4849,650,3,2009,Solna
43,https://www.booli.se/bostad/171122,4600000,50273,4,92,2019-10-01,4742,405,2,2012,Solna
44,https://www.booli.se/bostad/692940,2320000,89231,1,26,2019-09-18,1979,150,1,,Solna
45,https://www.booli.se/annons/3563042,3495000,49929,3,70,2019-09-30,4025,414,0,2014,Solna
46,https://www.booli.se/annons/2315823,2500000,47170,2,53,2017-05-17,2905,608,1,2009,Solna
47,https://www.booli.se/annons/3118881,4295000,46685,4,92,2018-04-24,4765,733,0,2013,Solna
48,https://www.booli.se/annons/3585697,2500000,69444,1,36,2019-09-27,2010,290,7,2019,Solna
49,https://www.booli.se/annons/3541157,2850000,49138,2,58,2019-09-11,2252,317,1,1952,Solna
50,https://www.booli.se/annons/3474118,3200000,50000,2,64,2019-09-17,3932,317,3,1987,Solna
51,https://www.booli.se/annons/3588488,5400000,50943,4,106,2019-09-26,5137,683,1,2011,Solna
52,https://www.booli.se/annons/3039552,3150000,50806,2,62,2017-11-23,2613,400,5,1969,Solna
53,https://www.booli.se/annons/3022656,3510000,43015,3,82,2018-02-02,3856,410,7,1966,Solna
54,https://www.booli.se/annons/3077793,2995000,49917,2,60,2018-02-08,3250,436,2,2015,Solna
55,https://www.booli.se/annons/3052040,2095000,89530,1,23,2018-02-16,1364,250,5,1954,Solna
56,https://www.booli.se/annons/3101601,2400000,57143,1,42,2018-03-14,2087,300,4,1965,Solna
57,https://www.booli.se/annons/3118647,5650000,60106,4,94,2018-04-14,4868,525,9,1965,Solna
58,https://www.booli.se/annons/3092645,1610000,94706,1,17,2018-04-26,1263,200,2,1953,Solna
59,https://www.booli.se/annons/3180042,2870000,47833,2,60,2018-06-19,2229,425,6,1965,Solna
60,https://www.booli.se/bostad/137454,3650000,46795,3,78,2019-01-23,4227,400,3,1971,Solna
61,https://www.booli.se/bostad/635542,2600000,74286,1,35,2019-09-25,2094,1111,1,1904,Solna
62,https://www.booli.se/bostad/313680,2350000,55952,2,42,2019-09-25,1988,120,0,1973,Solna
63,https://www.booli.se/bostad/143371,5650000,49561,5,114,2019-08-30,5391,558,4,2011,Solna
64,https://www.booli.se/bostad/327570,6400000,54701,4,117,2019-09-08,6378,448,4,2007,Solna
65,https://www.booli.se/bostad/306098,4820000,76508,2,63,2019-09-17,3503,317,7,2013,Solna
66,https://www.booli.se/bostad/716197,3800000,46341,3,82,2018-10-27,4436,380,1,1949,Solna
67,https://www.booli.se/annons/3180042,2870000,47833,2,60,2018-06-19,2229,425,6,1965,Solna
68,https://www.booli.se/annons/3186039,5500000,66265,3.5,83,2018-06-28,4230,475,7,1967,Solna
69,https://www.booli.se/annons/3240062,2700000,56250,2,48,2018-09-28,2746,475,1,2013,Solna
70,https://www.booli.se/annons/3280800,3550000,43827,3.5,81,2018-11-08,3866,550,2,1958,Solna
71,https://www.booli.se/annons/3305496,2350000,94000,1,25,2019-01-17,1499,300,1,1948,Solna
72,https://www.booli.se/annons/3287281,4150000,61940,2,67,2019-02-14,3131,678,9,1969,Solna
73,https://www.booli.se/annons/3324600,3560000,46174,3,77,2019-02-15,3772,600,12,1958,Solna
74,https://www.booli.se/annons/3366282,3710000,55789,3,67,2019-03-28,3695,700,0,1998,Solna
75,https://www.booli.se/annons/3418265,4010000,50759,3,79,2019-05-09,3503,825,6,1956,Solna
76,https://www.booli.se/annons/3546953,4630000,50054,5,93,2019-09-08,5242,800,5,2012,Solna
77,https://www.booli.se/annons/3560550,2920000,47097,2,62,2019-09-27,2627,475,5,1969,Solna
78,https://www.booli.se/annons/3575609,3830000,47284,3,81,2019-09-28,4052,516,7,1958,Solna
79,https://www.booli.se/annons/3577657,4750000,60127,3,79,2019-09-27,3799,417,3,1985,Solna
80,https://www.booli.se/annons/3566426,4000000,58824,3,68,2019-09-27,4249,731,5,2007,Solna
81,https://www.booli.se/annons/3546120,2930000,71463,2,41,2019-09-27,2289,292,4,2019,Solna
82,https://www.booli.se/bostad/790146,2125000,50595,2,42,2018-11-01,2189,425,0,1954,Solna
83,https://www.booli.se/bostad/140102,3527000,44816,3,79,2019-03-14,3084,576,8,1973,Solna
84,https://www.booli.se/bostad/705192,2720000,63256,2,43,2019-05-03,1980,584,2,1985,Solna
85,https://www.booli.se/bostad/743336,3910000,44432,4,88,2019-05-30,4781,650,3,1955,Solna
86,https://www.booli.se/bostad/441134,5500000,50000,4,110,2019-06-07,6140,825,1,2007,Solna
87,https://www.booli.se/bostad/161424,3620000,43614,3,83,2019-08-29,4718,622,2,1971,Solna
88,https://www.booli.se/bostad/689706,3090000,57222,2,54,2019-09-11,2919,450,1,1946,Solna
89,https://www.booli.se/bostad/697411,3010000,66889,2,45,2019-09-12,2209,400,1.5,1937,Solna
90,https://www.booli.se/bostad/695953,4040000,69655,2,58,2019-09-26,4362,475,5,1938,Solna
91,https://www.booli.se/bostad/334612,3200000,55077,2,58,2019-09-27,3075,542,2,1954,Solna
92,https://www.booli.se/bostad/679396,2520000,60723,2,42,2019-09-27,2581,333,1,1995,Solna
93,https://www.booli.se/annons/3570864,4030000,55205,3,73,2019-09-26,1913,630,3,1971,Solna
94,https://www.booli.se/annons/2344707,2850000,69512,2,41,2017-06-22,1853,178,0,1944,Solna
95,https://www.booli.se/annons/2355727,3050000,41216,3,74,2017-07-07,3475,202,0,1971,Solna
