,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
0,https://www.booli.se/annons/3571335,5100000,59302,3,86,2019-09-20,4077,405,3,1985,Bergshamra
1,https://www.booli.se/annons/3571314,4350000,62143,3,70,2019-09-19,3780,492,8,1961,Bergshamra
2,https://www.booli.se/annons/3543362,4950000,50510,4,98,2019-09-18,5141,306,1,1968,Bergshamra
3,https://www.booli.se/annons/3518287,3700000,49664,3,75,2019-09-18,3515,215,2,1953,Bergshamra
4,https://www.booli.se/annons/3521477,4750000,50802,4,94,2019-09-12,3894,500,3,1960,Bergshamra
5,https://www.booli.se/annons/3562800,3450000,46309,3,75,2019-09-11,3515,705,1,1953,Bergshamra
6,https://www.booli.se/annons/3546944,4100000,53947,3,76,2019-08-29,4104,467,8,1961,Bergshamra
7,https://www.booli.se/annons/3548639,3655000,48411,3,76,2019-08-28,2679,1453,3,1959,Bergshamra
8,https://www.booli.se/annons/3538552,3115000,57685,2,54,2019-08-17,2548,333,2,1960,Bergshamra
9,https://www.booli.se/annons/3520917,3600000,57143,2,63,2019-08-15,3316,916,6,1989,Bergshamra
10,https://www.booli.se/annons/3539110,3700000,54815,3,68,2019-08-14,3215,400,2,1990,Bergshamra
11,https://www.booli.se/annons/3531234,3500000,54517,2,64,2019-08-02,2975,317,5,1984,Bergshamra
12,https://www.booli.se/annons/3134952,3400000,50746,3,67,2018-05-05,2573,558,2,1960,Bergshamra
13,https://www.booli.se/annons/3134952,3400000,50746,3,67,2018-05-05,2573,558,2,1960,Bergshamra
14,https://www.booli.se/annons/3234614,2710000,77429,1,35,2018-09-21,2005,367,2,1960,Bergshamra
15,https://www.booli.se/annons/3113580,3550000,47020,3,76,2018-03-22,2837,417,3,1960,Bergshamra
16,https://www.booli.se/annons/3082836,4000000,49383,3,81,2018-09-11,3671,467,3,1990,Bergshamra
17,https://www.booli.se/annons/3218728,2410000,76508,1,32,2018-09-11,1449,333,3,1960,Bergshamra
18,https://www.booli.se/annons/3060256,3630000,48079,3,76,2018-04-28,2570,417,4,1960,Bergshamra
19,https://www.booli.se/annons/3039975,4910000,50619,4,97,2018-05-21,4121,508,3,1968,Bergshamra
20,https://www.booli.se/annons/3190981,3055000,55045,3,56,2018-09-04,3675,333,1,1953,Bergshamra
21,https://www.booli.se/annons/3378091,2615000,52616,1,50,2019-04-11,2623,293,0,1960,Bergshamra
