,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
0,https://www.booli.se/annons/3571892,4585000,86509,2,53,2019-09-20,3329,492,1,1936,vasastan
1,https://www.booli.se/annons/3570679,6250000,94697,3,66,2019-09-19,1914,730,1,1903,vasastan
2,https://www.booli.se/annons/3577174,11350000,97009,3,117,2019-09-20,3917,800,2,1902,vasastan
3,https://www.booli.se/annons/3571357,5610000,96724,2,58,2019-09-19,3051,200,0,1926,vasastan
4,https://www.booli.se/annons/3566006,3310000,97353,1,34,2019-09-19,1976,520,3,1919,vasastan
5,https://www.booli.se/annons/3373438,3920000,95610,2,41,2019-09-19,1825,770,1,1927,vasastan
6,https://www.booli.se/annons/3566857,6050000,93077,2,65,2019-09-19,2471,753,4,1905,vasastan
7,https://www.booli.se/annons/3546159,3000000,103448,1,29,2019-09-19,1000,750,1.5,1910,vasastan
8,https://www.booli.se/annons/3572540,5950000,72561,3,82,2019-09-20,5881,400,6,1997,Kungsholmen
9,https://www.booli.se/annons/3571226,2360000,102609,1,23,2019-09-19,967,545,0,1938,Kungsholmen
10,https://www.booli.se/annons/3571948,3100000,119231,1,26,2019-09-19,1824,458,5,1929,Kungsholmen
11,https://www.booli.se/annons/3430449,7925000,77696,4,102,2019-09-19,5601,900,4,2012,Kungsholmen
12,https://www.booli.se/annons/3547992,10500000,112903,3,93,2019-09-20,989,500,3,1882,Ostermalm
13,https://www.booli.se/annons/3571807,18150000,98641,6,184,2019-09-19,5712,1979,4,1884,Ostermalm
14,https://www.booli.se/annons/3578153,5080000,115455,1.5,44,2019-09-19,954,350,3,1939,Ostermalm
15,https://www.booli.se/annons/3380698,6040000,63579,4,95,2019-09-20,4043,976,2,1982,Sodermalm
16,https://www.booli.se/annons/3115375,3650000,75258,2,49,2019-09-20,3046,310,0.5,1903,Sodermalm
17,https://www.booli.se/annons/3571573,2580000,92143,1,28,2019-09-20,1408,317,0.5,1928,Sodermalm
18,https://www.booli.se/annons/3573558,5530000,83788,3,66,2019-09-20,2867,500,4,1988,Sodermalm
19,https://www.booli.se/annons/3564417,3025000,88971,1.5,34,2019-09-19,1781,400,1,1911,Sodermalm
20,https://www.booli.se/annons/3573101,9975000,85991,4.5,116,2019-09-19,5470,240,3,2016,Sodermalm
21,https://www.booli.se/annons/3571335,5100000,59302,3,86,2019-09-20,4077,405,3,1985,Bergshamra
22,https://www.booli.se/annons/3571314,4350000,62143,3,70,2019-09-19,3780,492,8,1961,Bergshamra
